Place_Name,Description,Location,Adventure,Relax,Rural,Urban,Mountain,Historical,Food,Nature
O Quy Ho Pass,"One of the ""Four Great Passes"" of the Northwest, O Quy Ho Pass connects Lao Cai and Lai Chau, famous for its beautiful scenery and majestic heights.",Lai Chau,0,0,0,0,1,0,0,0
Pu Ta Leng peak,"The second highest mountain peak in Vietnam (3,049m), belongs to the Hoang Lien Son range, known as the ""second roof"" of Indochina.",Lai Chau,0,0,0,0,1,0,0,0
Muong Than fields,"During the ripe rice season, Muong Than fields are brilliantly golden, creating a poetic natural picture",Lai Chau,0,0,0,0,0,0,0,0
Lai Chau Hydroelectric Lake,"The giant artificial lake was created by the Lai Chau Hydroelectric project, located amidst the romantic mountain scenery.",Lai Chau,0,0,0,0,1,0,0,1
Sin Ho market,"The place where bustling trading activities of the Thai, H'Mong, Dao, Lu ethnic groups take place...",Lai Chau,0,0,0,1,0,0,1,0
Xuan Huong Lake,"A symbol of Da Lat, the lake is located right in the city center, surrounded by pine forests and flower gardens.",Lam Dong,0,0,0,1,0,0,0,1
Truc Lam Zen Monastery,"A famous Zen monastery located near Tuyen Lam Lake, with pure architecture and peaceful space.",Lam Dong,0,1,0,0,0,0,0,1
Da Lat Night Market,"Da Lat Night Market is where you can enjoy specialties such as grilled rice paper, soy milk and buy souvenirs.",Lam Dong,0,0,0,1,0,0,1,0
Bao Dai Palace,"One of the three palaces of King Bao Dai in Da Lat, with exquisite French architectural style.",Lam Dong,0,0,0,0,0,0,0,0
Elephant Falls,"Located in Nam Ban, Elephant Waterfall is majestic and wild, an ideal place for those who love to explore nature.",Lam Dong,0,0,0,0,0,0,0,1
Tam Thanh Cave,"Dubbed the ""First Eight Scenes of Lang Land"", it has interesting stalactites and many ancient relics such as the 2m high Amitabha Buddha statue carved in the 15th century.",Lang Son,1,0,0,0,0,1,0,0
Dong Kinh Market,"It is the largest commercial center in Lang Son, famous for its diverse products",Lang Son,0,0,0,1,0,0,1,0
Huu Nghi border gate,"This is a major international border gate between Vietnam and China, located on National Highway 1A.",Lang Son,0,0,0,0,0,0,0,0
Bong Lau Pass,It is a beautiful pass with winding curves and breathtaking natural scenery.,Lang Son,0,0,0,0,1,0,0,0
Tien Pagoda,"Tien Pagoda is located on Dai Tuong Mountain, associated with many legendary stories and imbued with Buddhism.",Lang Son,0,1,0,0,1,0,0,0
Fansipan Mountain Peak,"Fansipan is known as the ""Roof of Indochina"" with an altitude of 3,147m.",Lao Cai,0,0,0,0,1,0,0,0
Heaven's Gate O Quy Ho,"O Quy Ho Pass is one of the ""Four Great Passes"" of the Northwest, connecting Lao Cai and Lai Chau.",Lao Cai,0,0,0,0,1,0,0,0
Bac Ha market,"Bac Ha market is famous for brocade items, agricultural products and typical dishes of the H'Mong and Dao ethnic people.",Lao Cai,0,0,0,1,0,0,1,0
Love Falls,It is a romantic destination with clear blue water flowing through primeval forests.,Lao Cai,0,0,0,0,0,0,0,1
Thuong Temple,"It is a place to worship Tran Hung Dao, a talented general in Vietnamese history.",Lao Cai,0,1,0,0,0,1,0,0
Tan Lap floating village,"It is a large flooded Melaleuca forest, famous for its nearly 5km long path through the forest.",Long An,0,0,1,0,0,0,0,1
Hundred Pillar Ancient House,It is a unique ancient house with 120 exquisitely carved precious wooden columns.,Long An,0,0,0,0,0,1,0,0
Ton Thanh Pagoda,"This pagoda is where Mr. Nguyen Dinh Chieu once lived and composed the oration ""Orientation for the martyr Can Giuoc"".",Long An,0,1,0,0,0,0,0,0
Vam Co River,"Two large rivers flow through Long An, creating a unique river beauty.",Long An,0,0,0,0,0,0,0,0
Tan An Night Market,It is the ideal place to enjoy local cuisine and shop for Long An specialties,Long An,0,0,0,1,0,0,1,0
Phu Nhai Church,"It is one of the largest and most ancient churches in Vietnam, with a unique Gothic architectural style.",Nam Dinh,0,0,0,0,0,1,0,0
Tran Temple,"Located in Loc Vuong ward, Nam Dinh city, Tran temple worships the Tran kings, associated with the heroic history of this dynasty.",Nam Dinh,0,1,0,1,0,1,0,0
Xuan Thuy National Park,"This is a nature reserve located in Giao Thuy district, in the lower reaches of the Red River.",Nam Dinh,1,0,0,0,0,0,0,1
Vieng Market,This is a special market that only takes place once a year on the night of the 7th and early morning of the 8th of the first lunar month.,Nam Dinh,0,0,0,1,0,0,1,0
Ho Vi Xuyen,"The lake is located in Nam Dinh city, is an ideal place to relax, take a walk, and enjoy the green and peaceful space.",Nam Dinh,0,1,0,1,0,0,0,1
Lotus Village,"It is a simple thatched house, Coc well, and memorabilia associated with Uncle Ho's childhood.",Nghe An,0,0,1,0,0,0,0,0
Cua Lo Beach,"One of the most beautiful beaches in the Central region, Cua Lo attracts tourists with fine white sand, clear blue sea water and fresh seafood.",Nghe An,0,1,0,0,0,0,1,0
Truong Bon relic site,"It is an important historical site, a place to commemorate the heroic martyrs who sacrificed their lives in the resistance war against the US.",Nghe An,0,0,0,0,0,1,0,0
Thanh Chuong tea hill,"Dubbed the ""tea island"", Thanh Chuong tea hill is an ideal place to take photos and enjoy fresh air.",Nghe An,0,0,0,0,1,0,0,0
Tham Om Cave,"It is a large cave, with many magical stalactites and unique shapes.",Nghe An,1,0,0,0,0,0,0,0
Trang An,"As a World Cultural and Natural Heritage, Trang An stands out with its majestic mountain scenery and unique cave system.",Ninh Binh,1,0,0,0,1,0,0,0
Tam Coc,"Dubbed ""Ha Long Bay on land"", with beautiful natural scenery of limestone mountains, rice fields, and Ngo Dong river.",Ninh Binh,0,0,0,0,1,0,0,0
Hoa Lu ancient capital,"As the capital of Dai Co Viet under the Dinh and Early Le dynasties, Hoa Lu preserves many important historical relics.",Ninh Binh,0,0,0,0,0,1,0,0
Cuc Phuong National Park,"It is Vietnam's first national park with rich flora and fauna, thousand-year-old trees and prehistoric caves.",Ninh Binh,1,0,0,0,0,0,0,1
Ho Dong Chuong,"Dong Chuong Lake is a natural lake located in the middle of a pine forest, very peaceful and poetic.",Ninh Binh,0,1,0,0,0,0,0,1
Vinh Hy Bay,"One of the four most beautiful bays in Vietnam, Vinh Hy impresses with its clear blue sea, fine white sand, and brilliant coral reefs.",Ninh Thuan,0,0,0,0,0,0,0,0
Nui Chua National Park,"It is a nature reserve with a unique dry forest ecosystem, recognized by UNESCO as a World Biosphere Reserve.",Ninh Thuan,1,0,0,0,0,0,0,1
Po Klong Garai Tower,"This is the place to worship King Po Klong Garai, demonstrating the sophisticated architecture and sculpture of the Cham people.",Ninh Thuan,0,0,0,1,0,0,0,0
Ninh Thuan vineyard,These are famous vineyards with many grape products produced here,Ninh Thuan,0,0,0,0,0,0,0,0
Ba Be Lake,"This is a large saltwater lake in Ninh Thuan, home to many rare aquatic species",Ninh Thuan,0,0,0,0,0,0,0,1
Hung Temple,"It is a special national historical relic site, where the Hung Kings - the first founders of the Vietnamese people are worshiped.",Phu Tho,0,1,0,0,0,1,0,0
Hung Lo ancient village,"Famous for ancient houses hundreds of years old, and traditional crafts such as making banh chung and banh giay.",Phu Tho,0,0,1,0,0,1,0,0
Green Pearl Island,"It is an eco-tourism area combined with a resort, with fresh natural landscapes, water parks, thrilling games and hot springs.",Phu Tho,1,1,0,0,0,0,0,1
Xuan Son National Park,"It is one of the largest nature reserves in the North, featuring a tropical forest ecosystem and rich flora and fauna.",Phu Tho,1,0,0,0,0,0,0,1
Thanh Thuy hot spring,This is an area with modern resort and treatment services.,Phu Tho,0,1,0,0,0,0,0,1
Ganh Da Dia,"A unique natural wonder, Ganh Da Dia features basalt columns stacked like saucers.",Phu Yen,0,0,0,0,0,0,0,0
Hon Yen,"It is a small island with pristine landscape, highlighted by beautiful coral reefs.",Phu Yen,0,0,0,1,0,0,0,1
Dai Lanh lighthouse,"It is the easternmost point of Vietnam, the place to welcome the first sunrise on the mainland",Phu Yen,0,0,0,0,0,0,0,0
Triem Duc hot spring,It is an interesting destination to relax and soak in warm mineral water.,Phu Yen,0,0,0,0,0,1,0,1
Nhan Tower,"Nhan Tower, located on Nhan Mountain in Tuy Hoa city, is an ancient and sacred Cham architectural work.",Phu Yen,0,0,0,1,1,1,0,0
Phong Nha Cave,"Phong Nha - Ke Bang, recognized by UNESCO as a World Natural Heritage.",Quang Binh,1,0,0,0,0,0,0,0
Da Nhay Beach,It is a prominent place with uniquely shaped rocks on the beach.,Quang Binh,0,1,0,0,0,0,0,0
Temple of Holy Mother Lieu Hanh,It is a sacred place to worship saints in Vietnamese folk beliefs.,Quang Binh,0,1,0,0,0,0,0,0
Memorial house of General Vo Nguyen Giap,It is a place to store memorabilia associated with General Vo Nguyen Giap's childhood.,Quang Binh,0,0,0,0,0,0,0,0
Chay River,"An ideal destination for adventure lovers, Chay River combines the beauty of rivers and caves.",Quang Binh,1,0,0,0,0,0,0,0
Hoi An ancient town,"The houses are ancient and have unique architecture such as: houses with stone roofs, but the golden walls bring beauty.
peaceful. In particular, you can relax and walk along the narrow paths around the Hoai River",Quang Nam,0,1,1,0,0,1,0,0
An Bang Beach,"Possessing a peaceful, pristine beauty with golden beaches, blue sea, extremely cool and fresh climate.",Quang Nam,0,1,0,0,0,0,0,0
Chien Dan Tower,"Understand more about Champa culture, own a house displaying typical sculptures, countless rare items",Quang Nam,0,0,0,1,0,0,0,0
Cinnamon Peak,"With an altitude of 1400km, considered the most beautiful mountain of the majestic Truong Son, you can immerse yourself in the majestic landscape.
beautiful nature. You feel like you are lost in a fairyland, extremely peaceful and romantic. Especially along the way to reach Que Peak, you will in turn own beautiful pictures at Azut heaven gate, Ra-ai waterfall or Co Tu community.",Quang Nam,0,1,0,0,1,0,0,1
My Son Sanctuary,"A valley with a diameter of 2km, this place is surrounded by mountains and hills, extremely hidden. This location used to be a place for worshiping 
Champa dynasty. Discover so many precious heritages when coming here.",Quang Nam,0,0,0,0,1,0,0,0
Thien An Mountain,"It is a mountain that has long been famous for its majestic scenery and brings an extremely great historical value, with poetic beauty.
The dreaminess and gentleness it brings is a special feature that attracts tourists every year.",Quang Ngai,0,0,0,0,1,0,0,0
My Khe Beach,"One of the most attractive beaches on the planet, there are many beautiful sea view hotels suitable for enjoying your vacation.",Quang Ngai,0,1,0,0,0,0,0,0
Sa Huynh salt field,"The most important salt pan in our beloved Central region, white salt flats, coming here you will experience daily activities.
of the people here, promises to bring you experiences very different from tourist activities such as going to the forest or going to the sea.",Quang Ngai,0,0,0,0,0,0,0,1
White Falls,"The scenery here is impressive with pristine, fresh mountains and forests, waterfalls pouring down in the middle of a landscape surrounded by countless trees, rivers and streams with white foam.",Quang Ngai,0,0,0,0,1,0,0,1
Vi O Lach Pass,"Located more than 1,300m above sea level, the winding roads along with the poetic atmosphere always bring beautiful beauty and the rows of green grass growing on both sides of the road when visitors go up the pass are the most impressive and interesting features.",Quang Ngai,0,0,0,0,1,0,0,0
Ha Long Bay,"It is one of the world natural heritage sites recognized by UNESCO. With an area of 1553km2, nearly 2000 large and small islands, 
Ha Long Bay is blessed by nature with a system of caves and rocky islands that are both diverse and beautiful.",Quang Ninh,1,0,0,1,0,0,0,0
Bai Chay Beach,"Bai Chay always attracts many tourists to visit, experience and swim. The beach also has additional sea sports activities such as canoeing, parasailing or inflatable houses so that visitors can enjoy more advanced services.",Quang Ninh,0,1,0,0,0,0,0,0
Ha Long Park,"When traveling to Ha Long, you definitely should not miss Sun World Halong Park - a famous entertainment complex for all ages. If you have ever been to VinWonders, Ha Long Park is also a similar paradise, but much more bustling.",Quang Ninh,1,0,0,0,0,0,0,0
Cua Van fishing village,"Not only can visitors enjoy the quiet and peaceful space here, visitors also have more knowledge about the cultural and daily life of fishermen. The fishermen here are extremely friendly and hospitable. Passengers can row basket boats, fish, squid fishing... to better understand the life of fishermen.",Quang Ninh,0,1,1,0,1,0,0,0
Thien Cung Cave,"With a complex, multi-layered structure, the stalactites here have many strange shapes. This cave has been invested
 Full lighting system. Images of birds, flowers, and images of people's daily activities are carved inside the cave. Many archaeological vestiges have been found that demonstrate important historical values ​​through the ages.",Quang Ninh,1,0,0,0,0,0,0,0
Truong Son National Martyrs Cemetery,"The place marks the losses, demonstrating the most brutal things of foreign invaders. This place has gone down in history, a symbol of tragedy and heroism of patriots who put independence and national destiny first.",Quang Tri,0,0,0,0,0,1,0,0
Vinh Moc Tunnels,"This project is deep underground, dug by people during the resistance war against the US. The tunnels include many areas such as schools, logistics warehouses, hospitals, military areas and family areas.",Quang Tri,0,0,0,0,0,1,0,0
Cua Tung Beach,"Coming to this beach in the summer, you will see the peaceful beauty of blue sea and white sand. The quiet scene at sunset makes many hearts fascinated.",Quang Tri,0,1,0,0,0,0,0,0
Vien Thao Mien flower hill,"Stands out with its brilliant flower fields that bloom all year round. The weather here is extremely cool so growing flowers is quite convenient. Quang Tri tourist destination has enough roses, daisies, and yellow mustard flowers. In particular, if you love buckwheat flowers, you cannot miss Mien Vien Thao flowers.",Quang Tri,0,0,0,0,1,0,0,0
Cu Vo Peak,"Very suitable for groups of friends going on trips. Extremely attractive to young people who come to hunt clouds. In the early morning, standing at the mountain, white clouds open before your eyes. The moment the sunlight shines down is truly beautiful.",Quang Tri,0,0,0,0,1,0,0,0
Nga Nam floating market,"Selling all kinds of items from food to necessities. Most special of all, we cannot help but mention the boats/boats filled with tropical fruits 
typical zones depending on the season.",Soc Trang,0,0,0,1,0,0,1,0
Bat Pagoda,The architecture of this pagoda is considered typical of Khmer Theravada Buddhism. The pagoda was built in the 16th century but up to now the entire building is still in good condition and is still an important religious place for people in the region. The special thing when coming here is that visitors will see thousands of quite large bats hanging on trees in the temple grounds as if they were familiar with this place.,Soc Trang,0,1,0,0,0,0,0,0
Tan Long stork garden,With pristine natural scenery and diverse flora and fauna ecosystem. Especially rare stork species.,Soc Trang,0,0,0,0,0,0,0,1
Lake Be Beach,"This area was formed by alluvial deposits and seawater intrusion, creating a large low-lying lake. Beach
 This lake is also blessed by nature with a kilometer long white sand bank. Because tourism has not been exploited yet, the beach still retains its wild and natural features, bringing peace and freedom to visitors.",Soc Trang,0,1,0,0,0,0,0,1
Som Rong Pagoda,"It is a particularly important place not only due to religious beliefs, but also because this temple has a large library with more than 1,500 books, serving children and relatives in this place. The stupa is covered in a mysterious gray color instead of the usual yellow; The reclining Buddha statue is more than 63 meters long, about 28 meters above the ground, plus a height of 22 meters, making the statue extremely majestic; Som Rong Pagoda is often chosen by many tourists to visit",Soc Trang,0,1,0,0,0,0,0,0
Moc Chau,"with specialties being the seasons of banyan flowers, cherry blossoms, plum blossoms, yellow mustard flowers... filled with fragrance. Moc Chau is also the most classic name when it comes to tourism in the Northwest region with its picturesque trekking routes",Son La,1,0,0,0,0,0,0,0
Ngu Dong Ban Ong,"This is a system of 5 caves that was first discovered by local people in 2006. Because there are not many tourist services here, the caves still retain their wild and mysterious beauty. The inside of the cave is dotted with giant stalactites with unique shapes.",Son La,1,0,0,0,0,0,0,0
Pine forest in Ang village,"The forest has a total area of ​​up to 43 hectares with fresh air and rolling green pine scenery that looks very cool. 
You can experience camping overnight in the pine forest of Ang village to enjoy the cold air and enjoy peace.",Son La,0,0,1,0,0,0,0,1
Dai Yem Waterfall,"The waterfall is more than 100m high, divided into 2 main floors. The first floor has a total of 9 steps, the second floor has 5 steps. From April to October every year, when a lot of water flows in, it creates strong streams, creating beautiful white foam.",Son La,0,0,0,0,0,0,0,1
Ta Xua peak,"From the top, you can admire the surrounding majestic scenery with strips of green terraced fields, looming in the distance is the roof of kitchen smoke leaves, your hands can touch the clouds and sky.",Son La,0,0,0,0,1,0,0,0
Ba Den Mountain,"Ba Den Mountain is also known as the ""roof"" of the South with the highest peak of 986 m, an area of ​​24 km². If you love the immense beauty of heaven and earth and want to admire the beautiful scenery from above, you can choose to travel by cable car from the foot of the mountain to the top of the mountain.",Tay Ninh,0,0,0,0,1,0,0,0
Tay Ninh Holy See,"The Holy See is a tourist destination in Tay Ninh for backpackers who want to learn about the typical culture and architecture here. The design style of the building is extremely unique, the details are intricately carved and bring many symbols to the culture of this land.",Tay Ninh,0,0,0,0,0,0,0,0
Dau Tieng Lake,"Dau Tieng Lake was built with the purpose of providing water for daily life. In addition, this place is also an extremely hot tourist destination with a peaceful, poetic landscape like in a fairy tale. You will be immersed in the beautiful natural scenery with charming mountains, gentle clouds and sky, and the immense blue of the water and sky. The undulating rocky rapids around the oasis on the lake are a stopping point and also a beautiful background for you to live virtually.",Tay Ninh,0,1,0,0,1,0,0,1
Chop Mat Tower,"This tower has a very special architecture that is built gradually smaller upwards but does not have a top. The Oc Eo people are very skillful and intelligent when building projects; they do not use any cement as a binding material. When coming here to visit, visitors can comfortably check in in an extremely peaceful and nostalgic space of this Tay Ninh tourist destination.",Tay Ninh,0,1,0,1,0,1,0,0
Lo Go - Xa Mat National Park,"Coming here, visitors can see rare species of animals and plants that you rarely have the opportunity to see in real life. There are many rare animal species listed in the red book. In addition, visitors can also experience many activities such as cycling through the forest, exploring the forest by river,...",Tay Ninh,1,0,0,0,0,0,0,1
Keo Pagoda,"Keo Pagoda in Thai Binh is ranked as the most beautiful ancient pagoda in Vietnam. The pagoda was built according to ancient architecture from the Le Dynasty. For that reason, Keo Pagoda is considered one of the check-in places in Thai Binh that you must definitely visit.",Hoa Binh,0,1,0,0,0,1,0,0
Dong Chau Beach,"If you want to keep the wild beauty intact, come to Dong Chau beach. With a 5km stretch of sandy beach embracing the vast, green sea, it has become a unique tourist destination in the North Central region. The watchtowers undulating on the water create a truly charming scene.",Hoa Binh,0,1,0,1,0,0,0,0
Con Den Beach,"The most beautiful image of the sea and the wildness of the primeval forest. In particular, at dawn and dusk, the beauty here becomes strangely charming, this is also the moment most sought after by many people. With the fresh beauty from the air to the clear blue sea and white sand, this is truly a great background.",Hoa Binh,0,1,0,0,0,0,0,1
Bac Trach Church,"This is one of the largest churches in Vietnam today with ornate patterns following Roman architecture. 
With this beauty, Bac Trach Church is definitely a unique Thai Binh check-in place for you.",Hoa Binh,0,0,0,0,0,0,0,0
Hoi mat weaving village,"Famous for traditional craft villages nearly hundreds of years old.  You will also learn more about the simple life of the people in the village. And you will be introduced to the process of creating a traditional mat, from harvesting and processing sedge to the finished product. These experiences will be an unforgettable memory of your trip.",Hoa Binh,0,0,1,0,0,0,0,0
Nui Coc Lake,"Visitors can experience riding a basket boat, explore the Fairy World and Underworld cave, Ba Cay Pine cave, visit the Causal Theory complex - Golden Thac Thieng Pagoda, the largest Buddhist temple in the North with a Guniess record.",Thai Nguyen,1,1,0,0,0,0,0,1
Tan Cuong tea hill,"One of the famous Thai Nguyen tourist destinations that certainly cannot be forgotten is Tan Cuong tea hill. This is a place that attracts the attention of many tourists thanks to its beautiful natural landscape, covered with a cool green color. Anyone who comes to Tan Cuong tea hill to travel can feel the freshness deep within their soul, helping you feel more comfortable than ever.",Thai Nguyen,0,0,0,0,1,0,0,1
Ho Mai Mieu,"This place is likened to an extremely impressive watercolor painting with charming mountain scenery that captivates people's hearts. Temple of Literature Lake stands out with its wide lake surface, clear lake water combined with the surrounding majestic landscape, creating a more poetic and attractive scene than ever. Just because there has not been a strong focus on tourism exploitation, Vai Mieu Lake has kept its wild and lyrical beauty intact, making many people fascinated.",Thai Nguyen,0,1,0,0,1,0,0,1
Linh Son Cave,"Linh Son Cave in Thai Nguyen province has a spacious area, in the summer it is very cool and in the winter it will be extremely warm. The cave is located in the middle of a large rocky mountain, so the people here chose to build a Buddhist temple. Every full moon and first day, people from Thai Nguyen and many other neighboring provinces will come here to offer incense to Buddha very bustlingly.",Thai Nguyen,1,1,0,0,1,1,0,0
Bitter Dat Waterfall,"You will feel like you are stepping into a new space, completely away from the hustle and bustle of the city. The majestic mountains and forests, the cool blue water are impressive things that make you feel truly relaxed and want to enjoy this rare peace forever.",Thai Nguyen,0,1,0,1,1,0,0,1
Suoi Hieu,"Located between the lush green forest and peaceful rice fields, Hieu stream flows quietly every day, creating an extremely poetic check-in location in Thanh Hoa. Like a rose with thorns, the stream has a captivating beauty but has the ability to temporarily petrify whatever falls down due to its very high lime content.",Thanh Hoa,0,1,0,0,0,0,0,1
Pu Luong terraced fields,Coming to Thanh Hoa without setting foot in the Pu Luong terraced fields to check-in is a huge mistake. Pu Luong terraced fields are both the pride of our people and a super hot check-in location in Thanh Hoa.,Thanh Hoa,0,0,0,0,0,0,0,0
Cam Thuy God Fish Stream,"Suoi Ca Than is a place associated with the beliefs of the Muong ethnic people, because this place has a particularly dense population. Currently, Fish Stream has also become one of the unique and famous check-in locations in Thanh Hoa that you can add to your itinerary.",Thanh Hoa,0,0,0,0,0,0,0,0
Ben En National Park,"is home to many rare species of flora and fauna such as green lim, incense burner, cypress... black bear, land phoenix... Ben En National Park is considered the green lung of Thanh Hoa because of its endless green forests. And mixed in with that green color are caves and rugged high rocky mountains that have created the most unique and poised check-in locations in Thanh Hoa.",Thanh Hoa,1,0,0,0,1,0,0,1
Ho Dynasty Citadel,Peach and is made up of countless stalactite shapes. Deep inside the cave there is also a small lake creating an extremely poetic picture.,Thanh Hoa,1,0,0,1,0,0,0,1
Hue Citadel,"Located on the North bank of the romantic and lyrical Perfume River, Hue Citadel has unique royal art architecture and moat gardens. It is also the administrative and political center of the Nguyen Dynasty and the royal king's living place in the past.",Thua Thien Hue,0,0,0,0,0,1,0,0
Thien Mu Pagoda,"This pagoda is a famous Hue attraction and indispensable in every tourist's journey to explore Hue. About 5km west of Hue city center, with another name is Linh Mu pagoda, the pagoda is located on Ha Khe hill, overlooking the romantic Perfume River. The pagoda has a long-standing ancient beauty with spacious grounds, peaceful scenery and especially the 7-storey Phuoc Duyen tower in the front yard of the pagoda, which is considered a typical symbol of Hue city.",Thua Thien Hue,0,1,0,1,1,1,0,0
Tomb of Khai Dinh,"When talking about Hue, people cannot help but mention the mausoleums of the Nguyen Dynasty. Your tour will be more interesting if you do not visit the Tomb of Khai Dinh. Visitors will be able to admire the pinnacle of the art of creating very sophisticated porcelain and glass by the hands of ancient artisans, because. It can be said that Khai Dinh mausoleum is a unique combination of sophisticated East and West architecture.",Thua Thien Hue,0,0,0,0,0,1,0,0
Minh Mang Tomb,"Minh Mang Tomb, also known as Hieu Lang, is located on Cam Khe mountain, near Bang Lang junction, where the Huu Trach and Ta Trach streams converge to form the Perfume River, 12 km from the ancient capital of Hue. Minh Mang Tomb was built from 1840 to 1843 when it was completed, mobilizing up to ten thousand workers and soldiers.",Thua Thien Hue,0,0,0,0,1,1,0,0
Trang Tien Bridge,"One of the oldest bridges in Hue and has become a tourism symbol of Hue is none other than the Trang Tien Bridge spanning the romantic Perfume River and is also a beautiful ""muse"" of many domestic writers and artists.",Thua Thien Hue,0,1,0,1,0,0,0,0
Tan Thanh Beach,"With clear blue water and white sand, Tan Thanh beach possesses a very unique beauty with a black sand beach more than 7km long. Along the beach is a typical blue wharf and nets set up by people to catch fish, clams...",Tien Giang,0,1,0,0,0,0,0,0
My Thuan Bridge,"After 3 years of construction, My Thuan Bridge was inaugurated in 2000 and is the first cable-stayed bridge in Vietnam. With its massive and unique architecture, the bridge has become a check-in location for many generations. Whether you travel by motorbike or car, you can arrange a schedule to pass by here and admire the beauty of the bridge. In particular, when night falls, the bridge will become more prominent with its lighting and decoration system!",Tien Giang,0,0,0,1,1,0,0,0
Cai Be Church,"Possessing typical Roman architecture, Cai Be church not only plays an important role in the religious life of the people here but is also an attractive tourist destination in Tien Giang. The most prominent feature of Cai Be church is the bell tower, considered the tallest in the Mekong Delta region. In addition, the front of the church faces the confluence of Cai Be River as if embracing the whole world. The campus is arranged with many trees, providing a beautiful landscape",Tien Giang,0,0,0,1,0,0,0,1
Linh Vu Pagoda,"This is one of the pagodas with the oldest history in Tien Giang province. More specifically, this place is associated with the story of King Gia Long's escape from death that has been passed down through many generations. This is one of the pagodas with the oldest history in Tien Giang province. More specifically, this place is associated with the story of King Gia Long's escape from death that has been passed down through many generations.",Tien Giang,0,1,0,0,1,1,0,0
Holy See Church,"The church is located at 32 Hung Vuong Street, Ward 7, City. My Tho. More than 100 years old and undergoing many restorations, Tien Giang Cathedral still retains its ancient beauty with sophisticated motifs and typical Greek revival architecture.",Tien Giang,0,0,0,1,0,1,0,0
Ben Thanh Market,"This is one of the most famous tourist destinations in Ho Chi Minh City, located right in the city center and is always bustling with people coming in and out to buy and sell, with tourists checking in every day. Ben Thanh Market sells all kinds of items from food, fabrics, clothes, household appliances, Saigon specialties,... and most importantly, the extremely attractive food court at the market and impressive check-in corners will make you always want to stay here for a long time.",Ho Chi Minh City,0,0,0,1,0,0,1,0
Doc Lap Palace,"This place was recognized as one of Vietnam's 10 special national monuments in 2009. Independence Palace is a place to display and store valuable images and artifacts from the 19th century according to different themes. In particular, this place still retains the original interior of important rooms such as the stateroom, cabinet room,...",Ho Chi Minh City,0,0,0,0,0,0,0,0
Notre Dame Cathedral,"Also located right in the center of District 1, Notre Dame Cathedral is a tourist destination in Ho Chi Minh City that you must definitely visit. Notre Dame Cathedral is a unique architectural work with European style, a place to live and organize Masses for Catholics in Saigon.",Ho Chi Minh City,0,0,0,1,0,0,0,0
Vietnam History Museum,"The Vietnam History Museum was built and operated since the early 20th century, and is a place to store and preserve images and antiques from early times to the present. The Vietnam History Museum attracts most tourists who love history and architecture that blend two unique Asian and European styles.",Ho Chi Minh City,0,0,0,1,0,1,0,0
Cu Chi Tunnels,"This place is a special national monument, associated with the history of the Vietnam War, used to be an important base and also a common living place including infirmary, kitchen, workplace, etc. of our army in the resistance war against invaders, to regain territorial integrity. Besides, inside the Cu Chi tunnels, their lives are also recreated through very realistic and impressive models of people and animals. This place is one of the attractive destinations of Ho Chi Minh tours that you should not miss on your trip.",Ho Chi Minh City,0,0,0,0,0,1,0,0
